replica,status,backend,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1_drop_12.csv,ok,econml_causal_forest,0.5524,0.0596,0.0641,0.9867,1.1416,1.115,1.2507
ihdp_npci_1_drop_15.csv,ok,econml_causal_forest,0.9804,0.1568,0.048,0.9867,1.3568,1.317,1.5181
ihdp_npci_1_drop_3.csv,ok,econml_causal_forest,0.4935,0.1429,0.2378,1.0,1.1107,1.1125,1.1026
ihdp_npci_1_drop_6.csv,ok,econml_causal_forest,0.4016,0.0081,0.056,1.0,1.2637,1.2268,1.4134
ihdp_npci_1_drop_9.csv,ok,econml_causal_forest,0.5521,0.0346,0.1175,0.9933,1.1668,1.1455,1.2555
MEAN,,,0.596,0.0804,0.1047,0.9933,1.2079,1.1834,1.3081
STD,,,0.2235,0.0661,0.0792,0.0067,0.101,0.0879,0.1608
MEDIAN,,,0.5521,0.0596,0.0641,0.9933,1.1668,1.1455,1.2555
