replica,status,backend,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1_noisy_std_0.5.csv,ok,econml_causal_forest,0.7744,0.0472,0.2587,0.9867,1.1286,1.0929,1.2725
ihdp_npci_1_noisy_std_1.0.csv,ok,econml_causal_forest,0.8644,0.0817,0.2992,0.9867,1.3606,1.3262,1.5013
ihdp_npci_1_noisy_std_1.5.csv,ok,econml_causal_forest,0.8147,0.0009,0.1679,1.0,1.313,1.2533,1.5464
ihdp_npci_1_noisy_std_2.0.csv,ok,econml_causal_forest,0.7484,0.0098,0.1485,1.0,1.432,1.2312,2.0932
ihdp_npci_1_noisy_std_2.5.csv,ok,econml_causal_forest,0.9101,0.1028,0.0298,0.9933,1.3356,1.3186,1.4071
ihdp_npci_1_noisy_std_3.0.csv,ok,econml_causal_forest,0.9907,0.0765,0.2259,0.9867,1.343,1.2507,1.6873
MEAN,,,0.8505,0.0532,0.1883,0.9922,1.3188,1.2455,1.5846
STD,,,0.0904,0.0412,0.0957,0.0065,0.1016,0.0842,0.2851
MEDIAN,,,0.8396,0.0619,0.1969,0.99,1.3393,1.252,1.5238
