replica,status,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1_drop_12.csv,ok,0.4901,0.0354,0.1386,1.0,1.0688,1.0643,1.0843
ihdp_npci_1_drop_15.csv,ok,0.6525,0.0831,0.1088,1.0,1.0625,1.0658,1.0503
ihdp_npci_1_drop_3.csv,ok,0.64,0.0213,0.0872,0.9933,0.956,0.9558,0.9568
ihdp_npci_1_drop_6.csv,ok,0.5235,0.146,0.2203,1.0,0.9567,0.9392,1.0211
ihdp_npci_1_drop_9.csv,ok,0.6162,0.1378,0.1339,0.9867,0.9517,0.9493,0.9629
MEAN,,0.5845,0.0847,0.1378,0.996,0.9991,0.9949,1.0151
STD,,0.073,0.0571,0.0506,0.006,0.0608,0.0643,0.0552
MEDIAN,,0.6162,0.0831,0.1339,1.0,0.9567,0.9558,1.0211
