replica,status,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1_noisy_std_0.5.csv,ok,0.5612,0.1184,0.22,1.0,1.1006,1.0636,1.2185
ihdp_npci_1_noisy_std_1.0.csv,ok,0.6755,0.2685,0.4251,1.0,1.1674,1.066,1.4826
ihdp_npci_1_noisy_std_1.5.csv,ok,0.9253,0.0086,0.0197,0.9933,1.1412,1.0772,1.3675
ihdp_npci_1_noisy_std_2.0.csv,ok,0.8344,0.0987,0.2381,1.0,1.1844,1.0979,1.47
ihdp_npci_1_noisy_std_2.5.csv,ok,0.9505,0.008,0.0559,0.9867,1.241,1.1568,1.5822
ihdp_npci_1_noisy_std_3.0.csv,ok,0.885,0.0938,0.0429,0.9867,1.1301,1.0112,1.5154
MEAN,,0.8053,0.0993,0.167,0.9945,1.1608,1.0788,1.4394
STD,,0.1543,0.0955,0.1574,0.0065,0.049,0.0478,0.1288
MEDIAN,,0.8597,0.0963,0.1379,0.9967,1.1543,1.0716,1.4763
