replica,status,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1_noisy_drop_12.csv,ok,0.5291,0.0537,0.1621,1.0,1.1018,1.0978,1.1154
ihdp_npci_1_noisy_drop_15.csv,ok,0.7031,0.083,0.1394,1.0,1.1138,1.0785,1.2354
ihdp_npci_1_noisy_drop_3.csv,ok,0.7521,0.0925,0.189,0.9933,1.0231,0.9898,1.1468
ihdp_npci_1_noisy_drop_6.csv,ok,0.6537,0.1845,0.3097,1.0,1.042,0.9792,1.2543
ihdp_npci_1_noisy_drop_9.csv,ok,0.7232,0.1094,0.1765,0.9867,1.0121,0.9679,1.201
MEAN,,0.6722,0.1046,0.1953,0.996,1.0586,1.0226,1.1906
STD,,0.0877,0.049,0.0665,0.006,0.0464,0.0607,0.0586
MEDIAN,,0.7031,0.0925,0.1765,1.0,1.042,0.9898,1.201
