dataset,dataset_path,k,metric,scaled,weighted,counterfactual_rmse,control_counterfactual_rmse,treated_counterfactual_rmse,pehe,ate_hat,ate_true,ate_abs_error
ihdp_npci_1_noisy_std_0.2.csv,C:\Users\hieuv\Code\452_proj\csds452_project_spring_2026\experiments\knn_counterfactual\noisy\gaussianSTD_test\ihdp_npci_1_noisy_std_0.2.csv,5,euclidean,True,False,1.1789688498844286,1.1289179481361749,1.3766727511382173,1.1517042381416653,4.05180368468451,4.016066896118338,0.03573678856617146
ihdp_npci_1_noisy_std_0.4.csv,C:\Users\hieuv\Code\452_proj\csds452_project_spring_2026\experiments\knn_counterfactual\noisy\gaussianSTD_test\ihdp_npci_1_noisy_std_0.4.csv,5,euclidean,True,False,1.1987673317058887,1.147259318210832,1.4020006513009804,1.1752483993238065,4.07692366384274,4.016066896118338,0.06085676772440163
ihdp_npci_1_noisy_std_0.6.csv,C:\Users\hieuv\Code\452_proj\csds452_project_spring_2026\experiments\knn_counterfactual\noisy\gaussianSTD_test\ihdp_npci_1_noisy_std_0.6.csv,5,euclidean,True,False,1.188290199064823,1.1460881715797973,1.3575530624291652,1.1678996090426066,4.087536926905309,4.016066896118338,0.0714700307869709
ihdp_npci_1_noisy_std_0.8.csv,C:\Users\hieuv\Code\452_proj\csds452_project_spring_2026\experiments\knn_counterfactual\noisy\gaussianSTD_test\ihdp_npci_1_noisy_std_0.8.csv,5,euclidean,True,False,1.1995026728726297,1.144199907295145,1.4162443305985108,1.1884811835203632,4.092656288656467,4.016066896118338,0.07658939253812846
ihdp_npci_1_noisy_std_1.0.csv,C:\Users\hieuv\Code\452_proj\csds452_project_spring_2026\experiments\knn_counterfactual\noisy\gaussianSTD_test\ihdp_npci_1_noisy_std_1.0.csv,5,euclidean,True,False,1.2262318696766132,1.1590852043825781,1.48466400085155,1.1956601451241993,4.0983305346247,4.016066896118338,0.08226363850636176
